Capability,Repositories,Recommendation,Reason
Utilities,shodan_apicpython-313,Archive,Duplicate/Lower score
Utilities,shodan_search,Archive,Duplicate/Lower score
Utilities,SKILL,Archive,Duplicate/Lower score
Utilities,SKILL_11,Archive,Duplicate/Lower score
Utilities,SKILL_13,Archive,Duplicate/Lower score
Utilities,SKILL_3,Archive,Duplicate/Lower score
Utilities,SKILL_7,Archive,Duplicate/Lower score
Utilities,SKILL_9,Archive,Duplicate/Lower score
Utilities,ssti_polyglot,Archive,Duplicate/Lower score
Utilities,status,Archive,Duplicate/Lower score
Utilities,stored_xss,Archive,Duplicate/Lower score
Utilities,style,Archive,Duplicate/Lower score
Utilities,SUMMARY,Archive,Duplicate/Lower score
Utilities,swagger_2,Archive,Duplicate/Lower score
Utilities,swagger_parser,Archive,Duplicate/Lower score
Utilities,tasks,Archive,Duplicate/Lower score
Utilities,telemetry,Archive,Duplicate/Lower score
Utilities,terminal,Archive,Duplicate/Lower score
Utilities,test-cortex-integration,Archive,Duplicate/Lower score
Utilities,testLogin,Archive,Duplicate/Lower score
Utilities,test_auth_profiles,Archive,Duplicate/Lower score
Utilities,test_auth_profile_cli,Archive,Duplicate/Lower score
Utilities,test_auth_runner,Archive,Duplicate/Lower score
Utilities,test_benchmarks_scoring_common,Archive,Duplicate/Lower score
Utilities,test_config,Archive,Duplicate/Lower score
Utilities,test_connection,Archive,Duplicate/Lower score
Utilities,test_langfuse_1,Archive,Duplicate/Lower score
Utilities,test_legacy_probe_migration,Archive,Duplicate/Lower score
Utilities,test_llm,Archive,Duplicate/Lower score
Utilities,test_llm_e2e_smoke,Archive,Duplicate/Lower score
Utilities,test_mcp_action_surface,Archive,Duplicate/Lower score
Utilities,test_new_high_roi_probes,Archive,Duplicate/Lower score
Utilities,test_probe_cors_reflection,Archive,Duplicate/Lower score
Utilities,test_probe_coupon_forging,Archive,Duplicate/Lower score
Utilities,test_probe_cve_poc,Archive,Duplicate/Lower score
Utilities,test_probe_deserialization,Archive,Duplicate/Lower score
Utilities,test_probe_dom_xss,Archive,Duplicate/Lower score
Utilities,test_probe_file_upload_validation,Archive,Duplicate/Lower score
Utilities,test_probe_forced_error,Archive,Duplicate/Lower score
Utilities,test_probe_graphql_introspection,Archive,Duplicate/Lower score
Utilities,test_probe_hidden_discovery,Archive,Duplicate/Lower score
Utilities,test_probe_host_header_reset_poisoning,Archive,Duplicate/Lower score
Utilities,test_probe_idor_authenticated,Archive,Duplicate/Lower score
Utilities,test_probe_idor_authz_differential,Archive,Duplicate/Lower score
Utilities,test_probe_idor_sequential,Archive,Duplicate/Lower score
Utilities,test_probe_ldap_injection,Archive,Duplicate/Lower score
Utilities,test_probe_mass_assignment,Archive,Duplicate/Lower score
Utilities,test_probe_path_traversal,Archive,Duplicate/Lower score
Utilities,test_probe_primitives,Archive,Duplicate/Lower score
Utilities,test_probe_prototype_pollution,Archive,Duplicate/Lower score
Utilities,test_probe_race_condition,Archive,Duplicate/Lower score
Utilities,test_probe_reflected_xss,Archive,Duplicate/Lower score
Utilities,test_probe_registry,Archive,Duplicate/Lower score
Utilities,test_probe_ssti_stored,Archive,Duplicate/Lower score
Utilities,test_probe_stored_xss,Archive,Duplicate/Lower score
Utilities,test_probe_xxe_upload,Archive,Duplicate/Lower score
Utilities,test_providers,Archive,Duplicate/Lower score
Utilities,test_registry_bridge,Archive,Duplicate/Lower score
Utilities,test_scope,Archive,Duplicate/Lower score
Utilities,test_spa_probes,Archive,Duplicate/Lower score
Utilities,test_stage1,Archive,Duplicate/Lower score
Utilities,test_tracing_and_telemetry,Archive,Duplicate/Lower score
Utilities,test_working_memory,Archive,Duplicate/Lower score
Utilities,tracing,Archive,Duplicate/Lower score
Utilities,traffic_parser,Archive,Duplicate/Lower score
Utilities,TROUBLESHOOTING,Archive,Duplicate/Lower score
Utilities,truncate,Archive,Duplicate/Lower score
Utilities,trusted_header_bypass,Archive,Duplicate/Lower score
Utilities,types,Archive,Duplicate/Lower score
Utilities,unauthed-decision-log,Archive,Duplicate/Lower score
Utilities,upgrade,Archive,Duplicate/Lower score
Utilities,utils_2,Archive,Duplicate/Lower score
Utilities,wayback,Archive,Duplicate/Lower score
Utilities,waybackurls,Archive,Duplicate/Lower score
Utilities,wechat-robot,Archive,Duplicate/Lower score
Utilities,wechat_robot,Archive,Duplicate/Lower score
